,pianist,track,duration,album,composition,setting,split
297,Chick Corea,pijama/coreac-bluemonklive-unaccompanied-xxxx-mly4zd7n,268.69921875,Chick Corea (Solo Piano   Standards),blue monk,solo,train
298,Brad Mehldau,pijama/mehldaub-losangelesiilive-unaccompanied-xxxx-c2ep9lxo,316.7395833333333,Brad Mehldau (10 Years Solo Live),los angeles ii,solo,train
299,Junior Mance,pijama/mancej-bluemonk-unaccompanied-xxxx-oyyh2vqv,409.77994791666663,Junior Mance (Junior Mance Special),blue monk,solo,train
300,Abdullah Ibrahim,pijama/ibrahima-bluebolero-unaccompanied-xxxx-vetuolw3,129.98958333333331,Abdullah Ibrahim (Solotude),blue bolero,solo,train
301,Oscar Peterson,pijama/petersono-bodyandsoul-unaccompanied-xxxx-3rn59z45,201.16927083333331,Oscar Peterson (1951),body and soul,solo,train
302,Tommy Flanagan,pijama/flanagant-strayhornmedley-unaccompanied-xxxx-0c4zwm9q,707.3828125,Tommy Flanagan (Solo Piano),strayhorn,solo,train
303,Oscar Peterson,pijama/petersono-idontstandaghostof-unaccompanied-xxxx-m7bjtexl,152.5,Oscar Peterson (1951),ghost of a chance,solo,train
304,Geri Allen,pijama/alleng-blue-unaccompanied-xxxx-lvfagkhg,195.47395833333331,Geri Allen (Home Grown),blue,solo,train
305,Abdullah Ibrahim,pijama/ibrahima-blueboleroblueboleroiii-unaccompanied-xxxx-wgkrk16e,79.79947916666666,Abdullah Ibrahim (Dream Time),blue bolero,solo,train
306,Oscar Peterson,pijama/petersono-justagigoloremastered-unaccompanied-xxxx-qxy8nz0c,324.3098958333333,Oscar Peterson (Tracks Remastered),just a gigolo,solo,train
307,Brad Mehldau,pijama/mehldaub-interstatelovesonglive-unaccompanied-xxxx-m7mw3g4h,1071.87890625,Brad Mehldau (10 Years Solo Live),interstate love song,solo,train
308,Teddy Wilson,pijama/wilsont-almostblues-unaccompanied-xxxx-x1l22siv,149.09895833333331,Teddy Wilson (Solo Piano  The Keystone Transriptions),almost blues,solo,train
309,Brad Mehldau,pijama/mehldaub-lilacwinelive-unaccompanied-xxxx-f4as3oyo,507.02994791666663,Brad Mehldau (Live in Marciac),lilac wine,solo,train
310,Geri Allen,pijama/alleng-flyingtowardthesoundreprise-unaccompanied-xxxx-4k3pq28q,372.5,Geri Allen (Flying Toward the Sound A Solo Piano Excursion Inspired by Cecil Taylor Mccoy Tyner and Herbie Hancock),flying toward the sound,solo,train
311,Stanley Cowell,pijama/cowells-outofthisworldlive-unaccompanied-xxxx-442mw0vk,269.7591145833333,Stanley Cowell (The Maybeck Recital Series Vol 5),out of this world,solo,train
312,Abdullah Ibrahim,pijama/ibrahima-triestemylove-unaccompanied-xxxx-zi3taigr,115.86979166666666,Abdullah Ibrahim (Solotude),trieste my love,solo,train
313,Chick Corea,pijama/coreac-portraitchrislive-unaccompanied-xxxx-9zydn4da,127.15104166666666,Chick Corea (Plays),portrait chris,solo,train
314,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-187f2exh,509.9895833333333,Keith Jarrett (Paris  London Testament),pt,solo,train
315,Junior Mance,pijama/mancej-whispernot-unaccompanied-xxxx-zo5lusln,430.1796875,Junior Mance (Junior Mance Special),whisper not,solo,train
316,Stanley Cowell,pijama/cowells-angeleyes-unaccompanied-xxxx-f7s81qwl,479.1497395833333,Stanley Cowell (Angel Eyes),angel eyes,solo,train
317,Abdullah Ibrahim,pijama/ibrahima-signalonthehill-unaccompanied-xxxx-smds3t1a,63.264322916666664,Abdullah Ibrahim (Solotude),signal on the hill,solo,train
318,Abdullah Ibrahim,pijama/ibrahima-twelvebytwelve-unaccompanied-xxxx-8ctt462t,98.42578125,Abdullah Ibrahim (The Song Is My Story),twelve by twelve,solo,train
319,Thelonious Monk,pijama/monkt-ihadntanyonetillyou-unaccompanied-xxxx-6usz7zik,199.98958333333331,Thelonious Monk (Solo Monk),i hadnt anyone till you,solo,train
320,Brad Mehldau,pijama/mehldaub-ronsplace-unaccompanied-xxxx-ks82mrck,269.90885416666663,Brad Mehldau (Marian McPartlands Piano Jazz with Brad Mehldau),rons place,solo,train
321,Teddy Wilson,pijama/wilsont-twilightblue-unaccompanied-xxxx-lrzjrz2i,173.05338541666666,Teddy Wilson (Solo Piano  The Keystone Transriptions),twilight blue,solo,train
322,Cedar Walton,pijama/waltonc-milestones-unaccompanied-xxxx-ayylw3k1,257.5,Cedar Walton (Underground Memoirs),milestones,solo,train
323,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-20vb4sbz,307.5,Keith Jarrett (Paris  London Testament),pt,solo,train
324,Brad Mehldau,pijama/mehldaub-heyyoulive-unaccompanied-xxxx-levtfkvk,660.94921875,Brad Mehldau (10 Years Solo Live),hey you,solo,train
325,Teddy Wilson,pijama/wilsont-jumpinoff-unaccompanied-xxxx-97e804q8,168.1796875,Teddy Wilson (Solo Piano  The Keystone Transriptions),jumpin off,solo,train
326,Kenny Barron,pijama/barronk-enchantedflower-unaccompanied-xxxx-vqk388e4,374.515625,Kenny Barron (At The Piano),enchanted flower,solo,train
327,Junior Mance,pijama/mancej-inasentimentalmood-unaccompanied-xxxx-fe8pcgz3,372.5,Junior Mance (Junior Mance Special),in a sentimental mood,solo,train
328,Abdullah Ibrahim,pijama/ibrahima-intheevening-unaccompanied-xxxx-fwlbqu32,92.37890625,Abdullah Ibrahim (Solotude),in the evening,solo,train
329,Thelonious Monk,pijama/monkt-northofthesunset-unaccompanied-xxxx-nk04fb5u,110.38932291666666,Thelonious Monk (Solo Monk),north of the sunset,solo,train
330,Abdullah Ibrahim,pijama/ibrahima-songforlawrencebrown-unaccompanied-xxxx-cl5xv0jg,129.98958333333331,Abdullah Ibrahim (Dream Time),song for lawrence brown,solo,train
331,Cedar Walton,pijama/waltonc-skylark-unaccompanied-xxxx-67i5bra4,285.47916666666663,Cedar Walton (Underground Memoirs),skylark,solo,train
332,Thelonious Monk,pijama/monkt-rubymydeartake1-unaccompanied-xxxx-cfd0kykm,282.37890625,Thelonious Monk (Solo Monk),ruby my dear,solo,train
333,Geri Allen,pijama/alleng-alonetogether-unaccompanied-xxxx-fbbw4vkv,454.3098958333333,Geri Allen (Home Grown),alone together,solo,train
334,Chick Corea,pijama/coreac-butbeautifullive-unaccompanied-xxxx-usqktf6w,376.77994791666663,Chick Corea (Solo Piano   Standards),but beautiful,solo,train
335,Oscar Peterson,pijama/petersono-ishouldcarelive-unaccompanied-xxxx-nge09x9t,282.94921875,Oscar Peterson (Exclusively for My Friends   My Favorite Instrument Vol IV),i should care,solo,train
336,Abdullah Ibrahim,pijama/ibrahima-blueboleroblueboleroii-unaccompanied-xxxx-v9aajra2,38.12890625,Abdullah Ibrahim (Dream Time),blue bolero,solo,train
337,Ahmad Jamal,pijama/jamala-sorare-unaccompanied-xxxx-j92em74h,182.5,Ahmad Jamal (Ballades),so rare,solo,train
338,Thelonious Monk,pijama/monkt-imconfessinthatiloveyou-unaccompanied-xxxx-esq0wm4q,155.1015625,Thelonious Monk (Solo Monk),im confessin,solo,train
339,McCoy Tyner,pijama/tynerm-crescent-unaccompanied-xxxx-fch082t4,299.8294270833333,McCoy Tyner (Soliloquy),crescent,solo,train
340,Abdullah Ibrahim,pijama/ibrahima-nisa-unaccompanied-xxxx-iis1xwxa,147.08984375,Abdullah Ibrahim (Solotude),nisa,solo,train
341,Abdullah Ibrahim,pijama/ibrahima-odetoduke-unaccompanied-xxxx-pl87nmy8,315.8997395833333,Abdullah Ibrahim (Ode to Duke Ellington At Dukes Place),ode to duke,solo,train
342,Geri Allen,pijama/alleng-blackman-unaccompanied-xxxx-0myn69sn,242.5,Geri Allen (Home Grown),black man,solo,train
343,Thelonious Monk,pijama/monkt-rubymydear-unaccompanied-xxxx-2p3lo619,337.72135416666663,Thelonious Monk (Solo Monk),ruby my dear,solo,train
344,Cedar Walton,pijama/waltonc-letscallthis-unaccompanied-xxxx-f8szjzuz,198.5390625,Cedar Walton (Blues For Myself Piano Solo),lets call this,solo,train
345,Chick Corea,pijama/coreac-portrait4eastonmaryland-unaccompanied-xxxx-dyjufdh2,205.359375,Chick Corea (Solo Piano   Portraits),portrait easton maryland,solo,train
346,Teddy Wilson,pijama/wilsont-oneoclockjump-unaccompanied-xxxx-z988sjf6,232.5,Teddy Wilson (Alone),one oclock jump,solo,train
347,Abdullah Ibrahim,pijama/ibrahima-preludeforcoltrane-unaccompanied-xxxx-ckhh394y,59.98958333333333,Abdullah Ibrahim (Senzo),prelude for coltrane,solo,train
348,McCoy Tyner,pijama/tynerm-ishouldcare-unaccompanied-xxxx-8zh4qxoa,238.51953125,McCoy Tyner (Soliloquy),i should care,solo,train
349,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-sfu9smyf,433.76953125,Keith Jarrett (Paris  London Testament),pt,solo,train
350,Tommy Flanagan,pijama/flanagant-lover-unaccompanied-xxxx-5j1b7kgc,161.7890625,Tommy Flanagan (Solo Piano),lover,solo,train
351,Stanley Cowell,pijama/cowells-thenighthasathousandeyes-unaccompanied-xxxx-0hx7j9y9,451.3489583333333,Stanley Cowell (Angel Eyes),the night has a thousand eyes,solo,train
352,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-whfxi44r,355.87369791666663,Keith Jarrett (Paris  London Testament),pt,solo,train
353,Geri Allen,pijama/alleng-dancingmysticpoetsattwilight-unaccompanied-xxxx-7tgbfufv,198.5390625,Geri Allen (Flying Toward the Sound A Solo Piano Excursion Inspired by Cecil Taylor Mccoy Tyner and Herbie Hancock),dancing mystic poets at twilight,solo,train
354,Chick Corea,pijama/coreac-askmenowlive-unaccompanied-xxxx-5fx01vp7,312.72916666666663,Chick Corea (Solo Piano   Standards),ask me now,solo,train
355,Thelonious Monk,pijama/monkt-bluehawk-unaccompanied-xxxx-l3oixry2,216.60286458333331,Thelonious Monk (Thelonious Alone In San Francisco),bluehawk,solo,train
356,Oscar Peterson,pijama/petersono-teafortwo-unaccompanied-xxxx-pu57u3x6,175.75911458333331,Oscar Peterson (1951),tea for two,solo,train
357,Brad Mehldau,pijama/mehldaub-howlonghasthisbeengoing-unaccompanied-xxxx-1bqdef7m,512.2395833333333,Brad Mehldau (Live in Tokyo),how long has this been going on,solo,train
358,Teddy Wilson,pijama/wilsont-whyshouldnt-unaccompanied-xxxx-7l569jo9,141.66927083333331,Teddy Wilson (Solo Piano  The Keystone Transriptions),why shouldnt,solo,train
359,Bill Evans,pijama/evansb-neverletmego-unaccompanied-xxxx-hdvc6a5k,873.33984375,Bill Evans (Alone),never let me go,solo,train
360,McCoy Tyner,pijama/tynerm-searchforpeaceliveat-unaccompanied-xxxx-iz0q79hu,372.5,McCoy Tyner (Things Aint What They Used To Be Live),search for peace,solo,train
361,John Hicks,pijama/hicksj-dukeellingtonssoundoflove-unaccompanied-xxxx-t1mlzax5,478.9192708333333,John Hicks (The Maybeck Recital Series Vol 7),duke ellingtons sound of love,solo,train
362,Oscar Peterson,pijama/petersono-gethappy-unaccompanied-xxxx-k37f75po,97.07942708333333,Oscar Peterson (1951),get happy,solo,train
363,Brad Mehldau,pijama/mehldaub-monksdream-unaccompanied-xxxx-vqpavh0z,459.0091145833333,Brad Mehldau (Live in Tokyo),monks dream,solo,train
364,Brad Mehldau,pijama/mehldaub-intro-unaccompanied-xxxx-h9fpvdpi,167.01953125,Brad Mehldau (Live in Tokyo),intro,solo,train
365,John Hicks,pijama/hicksj-reflectionsrecordedliveinconcert-unaccompanied-xxxx-5m2a83x0,437.1888020833333,John Hicks (I Remember You Recorded Live in Concert 2006),reflections,solo,train
366,Kenny Barron,pijama/barronk-wellyouneedntliveat-unaccompanied-xxxx-l8bo81nm,412.4296875,Kenny Barron (Live At Maybeck Recital Hall Volume 10),well you neednt,solo,train
367,Teddy Wilson,pijama/wilsont-icantgetstartedmoonglow-unaccompanied-xxxx-n7602dri,247.0,Teddy Wilson (Alone),i cant get started,solo,train
368,Gene Harris,pijama/harrisg-oldfolksliveatmaybeck-unaccompanied-xxxx-ye7y9atl,486.7591145833333,Gene Harris (The Maybeck Recital Series Vol 23),old folks,solo,train
369,Oscar Peterson,pijama/petersono-makinwhoopeelive-unaccompanied-xxxx-i3xns7vr,238.58984375,Oscar Peterson (Solo),makin whoopee,solo,train
370,Abdullah Ibrahim,pijama/ibrahima-bluesforbea-unaccompanied-xxxx-zu9853h0,58.75911458333333,Abdullah Ibrahim (Senzo),blues for bea,solo,train
371,Ahmad Jamal,pijama/jamala-whisperings-unaccompanied-xxxx-fpuah3vz,206.08984375,Ahmad Jamal (Ballades),whispering,solo,train
372,Thelonious Monk,pijama/monkt-bluemonk-unaccompanied-xxxx-5mrezprw,224.11458333333331,Thelonious Monk (Thelonious Alone In San Francisco),blue monk,solo,train
373,Thelonious Monk,pijama/monkt-roundlights-unaccompanied-xxxx-2f5s5cqq,214.21875,Thelonious Monk (Thelonious Alone In San Francisco),round lights,solo,train
374,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-unn3xjbb,442.24479166666663,Keith Jarrett (Paris  London Testament),pt,solo,train
375,Chick Corea,pijama/coreac-chopinpreludeop-unaccompanied-xxxx-dfz69wrj,254.60286458333331,Chick Corea (Plays),chopin prelude op,solo,train
376,Abdullah Ibrahim,pijama/ibrahima-blueboleroblueboleroiv-unaccompanied-xxxx-wb3qp65u,373.95963541666663,Abdullah Ibrahim (Dream Time),blue bolero,solo,train
377,John Hicks,pijama/hicksj-oblivionliveatmaybeckrecital-unaccompanied-xxxx-cojma67r,212.90885416666666,John Hicks (The Maybeck Recital Series Vol 7),oblivion,solo,train
378,Oscar Peterson,pijama/petersono-littlegirlbluelive-unaccompanied-xxxx-j1rrmwee,367.77994791666663,Oscar Peterson (Exclusively for My Friends   My Favorite Instrument Vol IV),little girl blue,solo,train
379,Brad Mehldau,pijama/mehldaub-thingsbehindthesun-unaccompanied-xxxx-jrrs1utn,262.4192708333333,Brad Mehldau (Live in Tokyo),things behind the sun,solo,train
380,Oscar Peterson,pijama/petersono-bodyandsoullive-unaccompanied-xxxx-twzqxjsp,279.06119791666663,Oscar Peterson (Solo),body and soul,solo,train
381,Hank Jones,pijama/jonesh-whatdididotobe-unaccompanied-xxxx-kt6fbqmy,308.9700520833333,Hank Jones (Handful Of Keys),what did i do to be so black and blue,solo,train
382,Keith Jarrett,pijama/jarrettk-encorefromtokyo-unaccompanied-xxxx-1wyyh1wi,482.5,Keith Jarrett (Sun Bear Concerts),encore from tokyo,solo,train
383,Brad Mehldau,pijama/mehldaub-dontletitbringyoudown-unaccompanied-xxxx-b2q0ivus,120.859375,Brad Mehldau (Suite   April 2020),dont let it bring you down,solo,train
384,Chick Corea,pijama/coreac-childrenssongno-unaccompanied-xxxx-u85w3xs1,94.45963541666666,Chick Corea (Plays),childrens song,solo,train
385,Teddy Wilson,pijama/wilsont-aghostofachance-unaccompanied-xxxx-mljus2a7,176.41796875,Teddy Wilson (Solo Piano  The Keystone Transriptions),ghost of a chance,solo,train
386,Tommy Flanagan,pijama/flanagant-sleepinbee-unaccompanied-xxxx-65kq24ri,283.08463541666663,Tommy Flanagan (Solo Piano),sleepin bee,solo,train
387,Teddy Wilson,pijama/wilsont-lushlifetakethea-unaccompanied-xxxx-arbjjpir,327.609375,Teddy Wilson (Alone),lush life,solo,train
388,Brad Mehldau,pijama/mehldaub-brahmsintermezzoinbflat-unaccompanied-xxxx-5hzcvlh7,153.29296875,Brad Mehldau (10 Years Solo Live),brahms intermezzo in bflat major op,solo,train
389,Geri Allen,pijama/alleng-godsancientsky-unaccompanied-xxxx-224gmzlu,959.8098958333333,Geri Allen (Flying Toward the Sound A Solo Piano Excursion Inspired by Cecil Taylor Mccoy Tyner and Herbie Hancock),gods ancient sky,solo,train
390,McCoy Tyner,pijama/tynerm-lushlifeliveatmerkin-unaccompanied-xxxx-rmwi6xk9,333.6796875,McCoy Tyner (Things Aint What They Used To Be Live),lush life,solo,train
391,Teddy Wilson,pijama/wilsont-shinystockings-unaccompanied-xxxx-swlsd0wg,259.58984375,Teddy Wilson (Alone),shiny stockings,solo,train
392,John Hicks,pijama/hicksj-straightenupandflyright-unaccompanied-xxxx-4lxer5ns,207.5,John Hicks (The Maybeck Recital Series Vol 7),i got rhythm,solo,train
393,McCoy Tyner,pijama/tynerm-bouncinwithbud-unaccompanied-xxxx-benlnpln,173.27604166666666,McCoy Tyner (Soliloquy),bouncin with bud,solo,train
394,Brad Mehldau,pijama/mehldaub-thisherelive-unaccompanied-xxxx-gwfdsmwi,477.63932291666663,Brad Mehldau (10 Years Solo Live),this here,solo,train
395,Abdullah Ibrahim,pijama/ibrahima-genesis-unaccompanied-xxxx-9p276kjh,60.635416666666664,Abdullah Ibrahim (Dream Time),genesis,solo,train
396,Brad Mehldau,pijama/mehldaub-iv-unaccompanied-xxxx-f6yf2w25,112.5,Brad Mehldau (Suite   April 2020),iv,solo,train
397,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-4l2fgn36,597.96875,Keith Jarrett (Paris  London Testament),pt,solo,train
398,Teddy Wilson,pijama/wilsont-morethanyouknow-unaccompanied-xxxx-o8b27o6z,165.83984375,Teddy Wilson (Solo Piano  The Keystone Transriptions),more than you know,solo,train
399,Oscar Peterson,pijama/petersono-bluesetudelive-unaccompanied-xxxx-ecwkfqtw,309.76953125,Oscar Peterson (Solo),blues etude,solo,train
400,Abdullah Ibrahim,pijama/ibrahima-intheevening-unaccompanied-xxxx-7w4m4p9k,187.69921875,Abdullah Ibrahim (Dream Time),in the evening,solo,train
401,Ahmad Jamal,pijama/jamala-ishouldcare-unaccompanied-xxxx-3r250fn1,199.6171875,Ahmad Jamal (Ballades),i should care,solo,train
402,Teddy Wilson,pijama/wilsont-roseroom-unaccompanied-xxxx-chyx5lwq,154.43880208333331,Teddy Wilson (Solo Piano  The Keystone Transriptions),rose room,solo,train
403,Stanley Cowell,pijama/cowells-stompinatthesavoylive-unaccompanied-xxxx-8w2qfmig,241.00911458333331,Stanley Cowell (The Maybeck Recital Series Vol 5),stompin at the savoy,solo,train
404,Brad Mehldau,pijama/mehldaub-iii-unaccompanied-xxxx-7bzohbul,167.5,Brad Mehldau (Suite   April 2020),iii,solo,train
405,Abdullah Ibrahim,pijama/ibrahima-dust-unaccompanied-xxxx-jlqwqj07,69.98958333333333,Abdullah Ibrahim (Senzo),dust,solo,train
406,Teddy Wilson,pijama/wilsont-themoonislow-unaccompanied-xxxx-efkelfe7,144.46875,Teddy Wilson (Solo Piano  The Keystone Transriptions),the moon is low,solo,train
407,Chick Corea,pijama/coreac-childrenssongno-unaccompanied-xxxx-65w88uez,71.9765625,Chick Corea (Plays),childrens song,solo,train
408,Geri Allen,pijama/alleng-homegrown-unaccompanied-xxxx-t7qxoq9n,327.0794270833333,Geri Allen (Home Grown),home grown,solo,train
409,Kenny Barron,pijama/barronk-thesmudge-unaccompanied-xxxx-3qrwffoj,298.95963541666663,Kenny Barron (Oscar With Love   The Songs of Oscar Peterson),the smudge,solo,train
410,Gene Harris,pijama/harrisg-theycanttakethatawayfrom-unaccompanied-xxxx-r7ikzql7,387.63932291666663,Gene Harris (The Maybeck Recital Series Vol 23),they cant take that away from me,solo,train
411,Chick Corea,pijama/coreac-bluemonkliveinberlin-unaccompanied-xxxx-phkqs50d,256.15885416666663,Chick Corea (Plays),blue monk,solo,train
412,Chick Corea,pijama/coreac-childrenssong4-unaccompanied-xxxx-cb3zhars,133.90885416666666,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
413,McCoy Tyner,pijama/tynerm-threeflowers-unaccompanied-xxxx-cr1n7eos,287.9388020833333,McCoy Tyner (Soliloquy),three flowers,solo,train
414,Keith Jarrett,pijama/jarrettk-partviiilive-unaccompanied-xxxx-kb5ggqre,316.6796875,Keith Jarrett (Budapest Concert Live),part viii,solo,train
415,Teddy Wilson,pijama/wilsont-outofnowhere-unaccompanied-xxxx-wkkagxts,159.52994791666666,Teddy Wilson (Solo Piano  The Keystone Transriptions),out of nowhere,solo,train
416,Chick Corea,pijama/coreac-portraithenriettalive-unaccompanied-xxxx-cr0xsciy,142.14713541666666,Chick Corea (Plays),portrait henrietta,solo,train
417,Keith Jarrett,pijama/jarrettk-partviilive-unaccompanied-xxxx-m00d79iy,322.0390625,Keith Jarrett (Budapest Concert Live),part vii,solo,train
418,Brad Mehldau,pijama/mehldaub-datderelive-unaccompanied-xxxx-pjuozrlj,293.7395833333333,Brad Mehldau (Live in Marciac),dat dere,solo,train
419,Chick Corea,pijama/coreac-childrenssongno-unaccompanied-xxxx-tlrbe3pa,452.9296875,Chick Corea (Plays),childrens song,solo,train
420,Abdullah Ibrahim,pijama/ibrahima-dreamtime-unaccompanied-xxxx-mf6wnan0,178.20572916666666,Abdullah Ibrahim (Dream Time),dreamtime,solo,train
421,Oscar Peterson,pijama/petersono-whocaniturnto-unaccompanied-xxxx-bezzp531,295.68359375,Oscar Peterson (Exclusively for My Friends   My Favorite Instrument Vol IV),who can i turn to,solo,train
422,Brad Mehldau,pijama/mehldaub-exitmusicforafilm-unaccompanied-xxxx-rimz3iid,455.4192708333333,Brad Mehldau (Live in Marciac),exit music for a film,solo,train
423,Brad Mehldau,pijama/mehldaub-jigsawfallingintoplacelive-unaccompanied-xxxx-d7l39zn8,705.5390625,Brad Mehldau (10 Years Solo Live),jigsaw falling into place,solo,train
424,Chick Corea,pijama/coreac-improvisationonscarlattilivein-unaccompanied-xxxx-g6dqiw3y,137.92317708333331,Chick Corea (Plays),improvisation on scarlatti,solo,train
425,McCoy Tyner,pijama/tynerm-allthethingsyouare-unaccompanied-xxxx-4wa69rln,251.70963541666666,McCoy Tyner (Soliloquy),all the things you are,solo,train
426,Thelonious Monk,pijama/monkt-ishouldcare-unaccompanied-xxxx-7n3eg53t,115.52994791666666,Thelonious Monk (Solo Monk),i should care,solo,train
427,Oscar Peterson,pijama/petersono-bodyandsoul-unaccompanied-xxxx-e2u91jpl,209.98958333333331,Oscar Peterson (Marian McPartlands Piano Jazz Radio Broadcast),body and soul,solo,train
428,Brad Mehldau,pijama/mehldaub-thinkofonelive-unaccompanied-xxxx-ziv3wb8y,465.29947916666663,Brad Mehldau (10 Years Solo Live),think of one,solo,train
429,Chick Corea,pijama/coreac-oblivionlive-unaccompanied-xxxx-3w12zyc3,236.6796875,Chick Corea (Solo Piano   Standards),oblivion,solo,train
430,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-cqm5v550,325.97916666666663,Keith Jarrett (Paris  London Testament),pt,solo,train
431,Bill Evans,pijama/evansb-likesomeoneinlove-unaccompanied-xxxx-awtxq598,387.984375,Bill Evans (The Complete Riverside Recordings),like someone in love,solo,train
432,McCoy Tyner,pijama/tynerm-whatsnewliveatmerkin-unaccompanied-xxxx-uvvg6cbt,232.82942708333331,McCoy Tyner (Things Aint What They Used To Be Live),whats new,solo,train
433,Teddy Wilson,pijama/wilsont-goinhomeblues-unaccompanied-xxxx-49cj37te,128.44921875,Teddy Wilson (Solo Piano  The Keystone Transriptions),goin home blues,solo,train
434,Abdullah Ibrahim,pijama/ibrahima-bluesforahipking-unaccompanied-xxxx-5bb4qeq6,367.79947916666663,Abdullah Ibrahim (Senzo),blues for a hip king,solo,train
435,Bill Evans,pijama/evansb-midnightmood-unaccompanied-xxxx-5tk0w9ks,317.0598958333333,Bill Evans (Alone),midnight mood,solo,train
436,Stanley Cowell,pijama/cowells-jitterbugwaltzlive-unaccompanied-xxxx-r4pwb811,319.9895833333333,Stanley Cowell (The Maybeck Recital Series Vol 5),jitterbug waltz,solo,train
437,Teddy Wilson,pijama/wilsont-minutesteak-unaccompanied-xxxx-xcvt4htq,60.71875,Teddy Wilson (Solo Piano  The Keystone Transriptions),minute steak,solo,train
438,Thelonious Monk,pijama/monkt-everythinghappenstometake3-unaccompanied-xxxx-zz7huq41,207.07942708333331,Thelonious Monk (Solo Monk),everything happens to me,solo,train
439,Abdullah Ibrahim,pijama/ibrahima-tookah-unaccompanied-xxxx-18mcef8h,89.98958333333333,Abdullah Ibrahim (Senzo),tookah,solo,train
440,Oscar Peterson,pijama/petersono-taketheatrainlive-unaccompanied-xxxx-96r2rhdh,192.5,Oscar Peterson (Solo),take the a train,solo,train
441,Chick Corea,pijama/coreac-theyellownimbuslivein-unaccompanied-xxxx-jr3298hu,550.4309895833333,Chick Corea (Plays),the yellow nimbus,solo,train
442,Teddy Wilson,pijama/wilsont-lildarling-unaccompanied-xxxx-2dluyccz,202.18880208333331,Teddy Wilson (Alone),lil darlin,solo,train
443,Chick Corea,pijama/coreac-theyellownimbus-unaccompanied-xxxx-4ng22l5q,542.4088541666666,Chick Corea (Solo Piano   Portraits),the yellow nimbus,solo,train
444,Hank Jones,pijama/jonesh-justsqueezeme-unaccompanied-xxxx-uxj8v93w,212.5,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),squeeze me,solo,train
445,Oscar Peterson,pijama/petersono-hungariandance-unaccompanied-xxxx-qfz8jllz,180.02994791666666,Oscar Peterson (1951),hungarian dance,solo,train
446,Chick Corea,pijama/coreac-prelude4op-unaccompanied-xxxx-vzlexgh9,284.35026041666663,Chick Corea (Solo Piano   Portraits),prelude op,solo,train
447,Keith Jarrett,pijama/jarrettk-someonetowatchoverme-unaccompanied-xxxx-nzlxyomy,299.1328125,Keith Jarrett (The Melody At Night With You),someone to watch over me,solo,train
448,Cedar Walton,pijama/waltonc-sophisticatedlady-unaccompanied-xxxx-2nav0nyp,218.97916666666666,Cedar Walton (Blues For Myself Piano Solo),sophisticated lady,solo,train
449,Hank Jones,pijama/jonesh-sundayinstrumental-unaccompanied-xxxx-0zvucvuf,172.5,Hank Jones (Handful Of Keys),sunday,solo,train
450,Thelonious Monk,pijama/monkt-askmenowtake1-unaccompanied-xxxx-8rimdq68,220.51822916666666,Thelonious Monk (Solo Monk),ask me now,solo,train
451,Hank Jones,pijama/jonesh-squeezemeinstrumental-unaccompanied-xxxx-lcyyturr,208.90625,Hank Jones (Handful Of Keys),squeeze me,solo,train
452,Abdullah Ibrahim,pijama/ibrahima-aspen-unaccompanied-xxxx-c2gsu38o,77.7890625,Abdullah Ibrahim (Senzo),aspen,solo,train
453,Abdullah Ibrahim,pijama/ibrahima-rosegotitbadinharlem-unaccompanied-xxxx-f3fk0v3s,347.453125,Abdullah Ibrahim (Ode to Duke Ellington At Dukes Place),rose got it bad in harlem,solo,train
454,Thelonious Monk,pijama/monkt-imconfessinthatiloveyou-unaccompanied-xxxx-co7ltkix,169.11979166666666,Thelonious Monk (Solo Monk),im confessin,solo,train
455,Oscar Peterson,pijama/petersono-sevencomeeleven-unaccompanied-xxxx-f8l3rmxf,107.81901041666666,Oscar Peterson (1951),i got rhythm,solo,train
456,Hank Jones,pijama/jonesh-gonewiththewind-unaccompanied-xxxx-d46a3srd,148.27473958333331,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),gone with the wind,solo,train
457,Abdullah Ibrahim,pijama/ibrahima-inasentimentalmood-unaccompanied-xxxx-arh2sls3,269.9895833333333,Abdullah Ibrahim (Ode to Duke Ellington At Dukes Place),in a sentimental mood,solo,train
458,Cedar Walton,pijama/waltonc-everytimewesaygoodbye-unaccompanied-xxxx-y7r0zknx,385.5,Cedar Walton (Underground Memoirs),everytime we say goodbye,solo,train
459,Kenny Drew,pijama/drewk-asimpleneed-unaccompanied-xxxx-krntn236,182.5,Kenny Drew (SoloDuo),a simple need,solo,train
460,Tommy Flanagan,pijama/flanagant-parisianthoroughfare-unaccompanied-xxxx-t191u481,212.95052083333331,Tommy Flanagan (Solo Piano),between the devil and the deep blue sea,solo,train
