,pianist,track,duration,album,composition,setting,split
336,McCoy Tyner,pijama/tynerm-ishouldcare-unaccompanied-xxxx-8zh4qxoa,238.51953125,McCoy Tyner (Soliloquy),i should care,solo,train
337,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-sfu9smyf,433.76953125,Keith Jarrett (Paris  London Testament),pt,solo,train
338,Tommy Flanagan,pijama/flanagant-lover-unaccompanied-xxxx-5j1b7kgc,161.7890625,Tommy Flanagan (Solo Piano),lover,solo,train
339,Brad Mehldau,pijama/mehldaub-andiloveherlive-unaccompanied-xxxx-as1cgema,954.25,Brad Mehldau (10 Years Solo Live),and i love her,solo,train
340,Teddy Wilson,pijama/wilsont-youremyfavoritememory-unaccompanied-xxxx-2pjucqcz,157.88932291666666,Teddy Wilson (Solo Piano  The Keystone Transriptions),youre my favorite memory,solo,train
341,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-whfxi44r,355.87369791666663,Keith Jarrett (Paris  London Testament),pt,solo,train
342,Junior Mance,pijama/mancej-iwishiknewhowit-unaccompanied-xxxx-u4dcro8x,364.0598958333333,Junior Mance (Junior Mance Special),i wish i knew how it would feel to be free,solo,train
343,Abdullah Ibrahim,pijama/ibrahima-meditationmummy-unaccompanied-xxxx-e3bfxb1x,139.98958333333331,Abdullah Ibrahim (Senzo),meditation mummy,solo,train
344,Chick Corea,pijama/coreac-askmenowlive-unaccompanied-xxxx-5fx01vp7,312.72916666666663,Chick Corea (Solo Piano   Standards),ask me now,solo,train
345,Thelonious Monk,pijama/monkt-bluehawk-unaccompanied-xxxx-l3oixry2,216.60286458333331,Thelonious Monk (Thelonious Alone In San Francisco),bluehawk,solo,train
346,Abdullah Ibrahim,pijama/ibrahima-opendoorwithin-unaccompanied-xxxx-n188c8gt,221.12890625,Abdullah Ibrahim (The Song Is My Story),open door within,solo,train
347,Oscar Peterson,pijama/petersono-teafortwo-unaccompanied-xxxx-pu57u3x6,175.75911458333331,Oscar Peterson (1951),tea for two,solo,train
348,Teddy Wilson,pijama/wilsont-whyshouldnt-unaccompanied-xxxx-7l569jo9,141.66927083333331,Teddy Wilson (Solo Piano  The Keystone Transriptions),why shouldnt,solo,train
349,Bill Evans,pijama/evansb-neverletmego-unaccompanied-xxxx-hdvc6a5k,873.33984375,Bill Evans (Alone),never let me go,solo,train
350,Abdullah Ibrahim,pijama/ibrahima-forcoltranept-unaccompanied-xxxx-pdygnkxw,265.70963541666663,Abdullah Ibrahim (The Song Is My Story),for coltrane,solo,train
351,McCoy Tyner,pijama/tynerm-searchforpeaceliveat-unaccompanied-xxxx-iz0q79hu,372.5,McCoy Tyner (Things Aint What They Used To Be Live),search for peace,solo,train
352,Hank Jones,pijama/jonesh-ivegotafeelingimfalling-unaccompanied-xxxx-ybohbf22,202.38932291666666,Hank Jones (Handful Of Keys),ive got a feeling im falling,solo,train
353,Oscar Peterson,pijama/petersono-gethappy-unaccompanied-xxxx-k37f75po,97.07942708333333,Oscar Peterson (1951),get happy,solo,train
354,John Hicks,pijama/hicksj-reflectionsrecordedliveinconcert-unaccompanied-xxxx-5m2a83x0,437.1888020833333,John Hicks (I Remember You Recorded Live in Concert 2006),reflections,solo,train
355,Teddy Wilson,pijama/wilsont-icantgetstartedmoonglow-unaccompanied-xxxx-n7602dri,247.0,Teddy Wilson (Alone),i cant get started,solo,train
356,Gene Harris,pijama/harrisg-oldfolksliveatmaybeck-unaccompanied-xxxx-ye7y9atl,486.7591145833333,Gene Harris (The Maybeck Recital Series Vol 23),old folks,solo,train
357,Abdullah Ibrahim,pijama/ibrahima-bluesforbea-unaccompanied-xxxx-zu9853h0,58.75911458333333,Abdullah Ibrahim (Senzo),blues for bea,solo,train
358,Thelonious Monk,pijama/monkt-bluemonk-unaccompanied-xxxx-5mrezprw,224.11458333333331,Thelonious Monk (Thelonious Alone In San Francisco),blue monk,solo,train
359,Thelonious Monk,pijama/monkt-roundlights-unaccompanied-xxxx-2f5s5cqq,214.21875,Thelonious Monk (Thelonious Alone In San Francisco),round lights,solo,train
360,Cedar Walton,pijama/waltonc-withoutasong-unaccompanied-xxxx-tg2eyywc,237.06119791666666,Cedar Walton (Blues For Myself Piano Solo),without a song,solo,train
361,John Hicks,pijama/hicksj-anightingalesanginberkeleysquare-unaccompanied-xxxx-5c6autdf,219.98958333333331,John Hicks (I Remember You Recorded Live in Concert 2006),a nightingale sang in berkeley square,solo,train
362,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-unn3xjbb,442.24479166666663,Keith Jarrett (Paris  London Testament),pt,solo,train
363,Chick Corea,pijama/coreac-chopinpreludeop-unaccompanied-xxxx-dfz69wrj,254.60286458333331,Chick Corea (Plays),chopin prelude op,solo,train
364,Abdullah Ibrahim,pijama/ibrahima-blueboleroblueboleroiv-unaccompanied-xxxx-wb3qp65u,373.95963541666663,Abdullah Ibrahim (Dream Time),blue bolero,solo,train
365,Brad Mehldau,pijama/mehldaub-meditationilordwatchover-unaccompanied-xxxx-lognqhxa,520.0598958333333,Brad Mehldau (10 Years Solo Live),meditation i lord watch over me,solo,train
366,Abdullah Ibrahim,pijama/ibrahima-forcoltrane-unaccompanied-xxxx-e0s6790u,253.28385416666666,Abdullah Ibrahim (Dream Time),for coltrane,solo,train
367,Hank Jones,pijama/jonesh-whatdididotobe-unaccompanied-xxxx-kt6fbqmy,308.9700520833333,Hank Jones (Handful Of Keys),what did i do to be so black and blue,solo,train
368,Brad Mehldau,pijama/mehldaub-dontletitbringyoudown-unaccompanied-xxxx-b2q0ivus,120.859375,Brad Mehldau (Suite   April 2020),dont let it bring you down,solo,train
369,Chick Corea,pijama/coreac-childrenssongno-unaccompanied-xxxx-u85w3xs1,94.45963541666666,Chick Corea (Plays),childrens song,solo,train
370,Teddy Wilson,pijama/wilsont-aghostofachance-unaccompanied-xxxx-mljus2a7,176.41796875,Teddy Wilson (Solo Piano  The Keystone Transriptions),ghost of a chance,solo,train
371,Tommy Flanagan,pijama/flanagant-sleepinbee-unaccompanied-xxxx-65kq24ri,283.08463541666663,Tommy Flanagan (Solo Piano),sleepin bee,solo,train
372,Teddy Wilson,pijama/wilsont-lushlifetakethea-unaccompanied-xxxx-arbjjpir,327.609375,Teddy Wilson (Alone),lush life,solo,train
373,Brad Mehldau,pijama/mehldaub-brahmsintermezzoinbflat-unaccompanied-xxxx-5hzcvlh7,153.29296875,Brad Mehldau (10 Years Solo Live),brahms intermezzo in bflat major op,solo,train
374,McCoy Tyner,pijama/tynerm-lushlifeliveatmerkin-unaccompanied-xxxx-rmwi6xk9,333.6796875,McCoy Tyner (Things Aint What They Used To Be Live),lush life,solo,train
375,Teddy Wilson,pijama/wilsont-shinystockings-unaccompanied-xxxx-swlsd0wg,259.58984375,Teddy Wilson (Alone),shiny stockings,solo,train
376,McCoy Tyner,pijama/tynerm-bouncinwithbud-unaccompanied-xxxx-benlnpln,173.27604166666666,McCoy Tyner (Soliloquy),bouncin with bud,solo,train
377,Brad Mehldau,pijama/mehldaub-thisherelive-unaccompanied-xxxx-gwfdsmwi,477.63932291666663,Brad Mehldau (10 Years Solo Live),this here,solo,train
378,Abdullah Ibrahim,pijama/ibrahima-genesis-unaccompanied-xxxx-9p276kjh,60.635416666666664,Abdullah Ibrahim (Dream Time),genesis,solo,train
379,Brad Mehldau,pijama/mehldaub-iv-unaccompanied-xxxx-f6yf2w25,112.5,Brad Mehldau (Suite   April 2020),iv,solo,train
380,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-4l2fgn36,597.96875,Keith Jarrett (Paris  London Testament),pt,solo,train
381,Teddy Wilson,pijama/wilsont-morethanyouknow-unaccompanied-xxxx-o8b27o6z,165.83984375,Teddy Wilson (Solo Piano  The Keystone Transriptions),more than you know,solo,train
382,Abdullah Ibrahim,pijama/ibrahima-whozamtwana-unaccompanied-xxxx-liy0mjqg,149.4296875,Abdullah Ibrahim (Dream Time),whoza mtwana,solo,train
383,Chick Corea,pijama/coreac-scarlattisonataind-unaccompanied-xxxx-r1pm33by,127.7734375,Chick Corea (Plays),scarlatti sonata in d minor k9 l413 allegro,solo,train
384,Abdullah Ibrahim,pijama/ibrahima-intheevening-unaccompanied-xxxx-7w4m4p9k,187.69921875,Abdullah Ibrahim (Dream Time),in the evening,solo,train
385,Teddy Wilson,pijama/wilsont-roseroom-unaccompanied-xxxx-chyx5lwq,154.43880208333331,Teddy Wilson (Solo Piano  The Keystone Transriptions),rose room,solo,train
386,Stanley Cowell,pijama/cowells-stompinatthesavoylive-unaccompanied-xxxx-8w2qfmig,241.00911458333331,Stanley Cowell (The Maybeck Recital Series Vol 5),stompin at the savoy,solo,train
387,Brad Mehldau,pijama/mehldaub-iii-unaccompanied-xxxx-7bzohbul,167.5,Brad Mehldau (Suite   April 2020),iii,solo,train
388,Brad Mehldau,pijama/mehldaub-viii-unaccompanied-xxxx-t4pmkvnu,204.98958333333331,Brad Mehldau (Suite   April 2020),viii,solo,train
389,Oscar Peterson,pijama/petersono-alittlejazzexerciseremastered-unaccompanied-xxxx-t36o3xhq,161.0,Oscar Peterson (Tracks Remastered),a little jazz exercise,solo,train
390,Abdullah Ibrahim,pijama/ibrahima-dust-unaccompanied-xxxx-jlqwqj07,69.98958333333333,Abdullah Ibrahim (Senzo),dust,solo,train
391,Teddy Wilson,pijama/wilsont-themoonislow-unaccompanied-xxxx-efkelfe7,144.46875,Teddy Wilson (Solo Piano  The Keystone Transriptions),the moon is low,solo,train
392,Chick Corea,pijama/coreac-childrenssongno-unaccompanied-xxxx-65w88uez,71.9765625,Chick Corea (Plays),childrens song,solo,train
393,John Hicks,pijama/hicksj-iwanttotalkaboutyou-unaccompanied-xxxx-yvgxhx0v,209.98958333333331,John Hicks (I Remember You Recorded Live in Concert 2006),i want to talk about you,solo,train
394,Geri Allen,pijama/alleng-homegrown-unaccompanied-xxxx-t7qxoq9n,327.0794270833333,Geri Allen (Home Grown),home grown,solo,train
395,Gene Harris,pijama/harrisg-theycanttakethatawayfrom-unaccompanied-xxxx-r7ikzql7,387.63932291666663,Gene Harris (The Maybeck Recital Series Vol 23),they cant take that away from me,solo,train
396,Chick Corea,pijama/coreac-bluemonkliveinberlin-unaccompanied-xxxx-phkqs50d,256.15885416666663,Chick Corea (Plays),blue monk,solo,train
397,Chick Corea,pijama/coreac-childrenssong4-unaccompanied-xxxx-cb3zhars,133.90885416666666,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
398,McCoy Tyner,pijama/tynerm-threeflowers-unaccompanied-xxxx-cr1n7eos,287.9388020833333,McCoy Tyner (Soliloquy),three flowers,solo,train
399,Keith Jarrett,pijama/jarrettk-partviiilive-unaccompanied-xxxx-kb5ggqre,316.6796875,Keith Jarrett (Budapest Concert Live),part viii,solo,train
400,Teddy Wilson,pijama/wilsont-outofnowhere-unaccompanied-xxxx-wkkagxts,159.52994791666666,Teddy Wilson (Solo Piano  The Keystone Transriptions),out of nowhere,solo,train
401,Brad Mehldau,pijama/mehldaub-i-unaccompanied-xxxx-cvvasakx,70.95963541666666,Brad Mehldau (Suite   April 2020),i,solo,train
402,Chick Corea,pijama/coreac-portraithenriettalive-unaccompanied-xxxx-cr0xsciy,142.14713541666666,Chick Corea (Plays),portrait henrietta,solo,train
403,Keith Jarrett,pijama/jarrettk-partviilive-unaccompanied-xxxx-m00d79iy,322.0390625,Keith Jarrett (Budapest Concert Live),part vii,solo,train
404,Brad Mehldau,pijama/mehldaub-datderelive-unaccompanied-xxxx-pjuozrlj,293.7395833333333,Brad Mehldau (Live in Marciac),dat dere,solo,train
405,Chick Corea,pijama/coreac-childrenssongno-unaccompanied-xxxx-tlrbe3pa,452.9296875,Chick Corea (Plays),childrens song,solo,train
406,Abdullah Ibrahim,pijama/ibrahima-dreamtime-unaccompanied-xxxx-mf6wnan0,178.20572916666666,Abdullah Ibrahim (Dream Time),dreamtime,solo,train
407,Brad Mehldau,pijama/mehldaub-exitmusicforafilm-unaccompanied-xxxx-rimz3iid,455.4192708333333,Brad Mehldau (Live in Marciac),exit music for a film,solo,train
408,Brad Mehldau,pijama/mehldaub-jigsawfallingintoplacelive-unaccompanied-xxxx-d7l39zn8,705.5390625,Brad Mehldau (10 Years Solo Live),jigsaw falling into place,solo,train
409,Chick Corea,pijama/coreac-improvisationonscarlattilivein-unaccompanied-xxxx-g6dqiw3y,137.92317708333331,Chick Corea (Plays),improvisation on scarlatti,solo,train
410,McCoy Tyner,pijama/tynerm-allthethingsyouare-unaccompanied-xxxx-4wa69rln,251.70963541666666,McCoy Tyner (Soliloquy),all the things you are,solo,train
411,Cedar Walton,pijama/waltonc-justoneofthosethings-unaccompanied-xxxx-qm6bqkt9,337.2395833333333,Cedar Walton (The Maybeck Recital Series Vol 25),just one of those things,solo,train
412,Thelonious Monk,pijama/monkt-ishouldcare-unaccompanied-xxxx-7n3eg53t,115.52994791666666,Thelonious Monk (Solo Monk),i should care,solo,train
413,Oscar Peterson,pijama/petersono-bodyandsoul-unaccompanied-xxxx-e2u91jpl,209.98958333333331,Oscar Peterson (Marian McPartlands Piano Jazz Radio Broadcast),body and soul,solo,train
414,Brad Mehldau,pijama/mehldaub-thinkofonelive-unaccompanied-xxxx-ziv3wb8y,465.29947916666663,Brad Mehldau (10 Years Solo Live),think of one,solo,train
415,Junior Mance,pijama/mancej-carelesslove-unaccompanied-xxxx-6escwcsr,416.8098958333333,Junior Mance (Junior Mance Special),careless love,solo,train
416,Chick Corea,pijama/coreac-oblivionlive-unaccompanied-xxxx-3w12zyc3,236.6796875,Chick Corea (Solo Piano   Standards),oblivion,solo,train
417,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-cqm5v550,325.97916666666663,Keith Jarrett (Paris  London Testament),pt,solo,train
418,Bill Evans,pijama/evansb-likesomeoneinlove-unaccompanied-xxxx-awtxq598,387.984375,Bill Evans (The Complete Riverside Recordings),like someone in love,solo,train
419,McCoy Tyner,pijama/tynerm-whatsnewliveatmerkin-unaccompanied-xxxx-uvvg6cbt,232.82942708333331,McCoy Tyner (Things Aint What They Used To Be Live),whats new,solo,train
420,Brad Mehldau,pijama/mehldaub-itsallrightwithme-unaccompanied-xxxx-bphn3zwu,289.9895833333333,Brad Mehldau (Live in Marciac),its all right with me,solo,train
421,Teddy Wilson,pijama/wilsont-goinhomeblues-unaccompanied-xxxx-49cj37te,128.44921875,Teddy Wilson (Solo Piano  The Keystone Transriptions),goin home blues,solo,train
422,Abdullah Ibrahim,pijama/ibrahima-bluesforahipking-unaccompanied-xxxx-5bb4qeq6,367.79947916666663,Abdullah Ibrahim (Senzo),blues for a hip king,solo,train
423,Hank Jones,pijama/jonesh-satindoll-unaccompanied-xxxx-pjyqb29l,216.13932291666666,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),satin doll,solo,train
424,Bill Evans,pijama/evansb-midnightmood-unaccompanied-xxxx-5tk0w9ks,317.0598958333333,Bill Evans (Alone),midnight mood,solo,train
425,Stanley Cowell,pijama/cowells-jitterbugwaltzlive-unaccompanied-xxxx-r4pwb811,319.9895833333333,Stanley Cowell (The Maybeck Recital Series Vol 5),jitterbug waltz,solo,train
426,Teddy Wilson,pijama/wilsont-minutesteak-unaccompanied-xxxx-xcvt4htq,60.71875,Teddy Wilson (Solo Piano  The Keystone Transriptions),minute steak,solo,train
427,Thelonious Monk,pijama/monkt-everythinghappenstometake3-unaccompanied-xxxx-zz7huq41,207.07942708333331,Thelonious Monk (Solo Monk),everything happens to me,solo,train
428,Abdullah Ibrahim,pijama/ibrahima-tookah-unaccompanied-xxxx-18mcef8h,89.98958333333333,Abdullah Ibrahim (Senzo),tookah,solo,train
429,Brad Mehldau,pijama/mehldaub-resignationlive-unaccompanied-xxxx-2wxzozqc,598.4296875,Brad Mehldau (Live in Marciac),resignation,solo,train
430,Oscar Peterson,pijama/petersono-foryou-unaccompanied-xxxx-gcj8qkw7,124.34895833333333,Oscar Peterson (1951),for you,solo,train
431,Chick Corea,pijama/coreac-theyellownimbuslivein-unaccompanied-xxxx-jr3298hu,550.4309895833333,Chick Corea (Plays),the yellow nimbus,solo,train
432,Teddy Wilson,pijama/wilsont-lildarling-unaccompanied-xxxx-2dluyccz,202.18880208333331,Teddy Wilson (Alone),lil darlin,solo,train
433,Chick Corea,pijama/coreac-theyellownimbus-unaccompanied-xxxx-4ng22l5q,542.4088541666666,Chick Corea (Solo Piano   Portraits),the yellow nimbus,solo,train
434,Brad Mehldau,pijama/mehldaub-marthamydearlive-unaccompanied-xxxx-io785fia,361.72916666666663,Brad Mehldau (Live in Marciac),martha my dear,solo,train
435,Hank Jones,pijama/jonesh-justsqueezeme-unaccompanied-xxxx-uxj8v93w,212.5,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),squeeze me,solo,train
436,Oscar Peterson,pijama/petersono-hungariandance-unaccompanied-xxxx-qfz8jllz,180.02994791666666,Oscar Peterson (1951),hungarian dance,solo,train
437,Chick Corea,pijama/coreac-prelude4op-unaccompanied-xxxx-vzlexgh9,284.35026041666663,Chick Corea (Solo Piano   Portraits),prelude op,solo,train
438,Thelonious Monk,pijama/monkt-monkspoint-unaccompanied-xxxx-l9tyejuf,134.625,Thelonious Monk (Solo Monk),monks point,solo,train
439,Keith Jarrett,pijama/jarrettk-someonetowatchoverme-unaccompanied-xxxx-nzlxyomy,299.1328125,Keith Jarrett (The Melody At Night With You),someone to watch over me,solo,train
440,Cedar Walton,pijama/waltonc-sophisticatedlady-unaccompanied-xxxx-2nav0nyp,218.97916666666666,Cedar Walton (Blues For Myself Piano Solo),sophisticated lady,solo,train
441,Hank Jones,pijama/jonesh-sundayinstrumental-unaccompanied-xxxx-0zvucvuf,172.5,Hank Jones (Handful Of Keys),sunday,solo,train
442,Thelonious Monk,pijama/monkt-askmenowtake1-unaccompanied-xxxx-8rimdq68,220.51822916666666,Thelonious Monk (Solo Monk),ask me now,solo,train
443,Hank Jones,pijama/jonesh-squeezemeinstrumental-unaccompanied-xxxx-lcyyturr,208.90625,Hank Jones (Handful Of Keys),squeeze me,solo,train
444,Abdullah Ibrahim,pijama/ibrahima-aspen-unaccompanied-xxxx-c2gsu38o,77.7890625,Abdullah Ibrahim (Senzo),aspen,solo,train
445,Thelonious Monk,pijama/monkt-imconfessinthatiloveyou-unaccompanied-xxxx-co7ltkix,169.11979166666666,Thelonious Monk (Solo Monk),im confessin,solo,train
446,Brad Mehldau,pijama/mehldaub-junklive-unaccompanied-xxxx-sjtxzmup,302.9192708333333,Brad Mehldau (10 Years Solo Live),junk,solo,train
447,Cedar Walton,pijama/waltonc-bridgework-unaccompanied-xxxx-7gosr004,204.97916666666666,Cedar Walton (Blues For Myself Piano Solo),bridge work,solo,train
448,Oscar Peterson,pijama/petersono-sevencomeeleven-unaccompanied-xxxx-f8l3rmxf,107.81901041666666,Oscar Peterson (1951),i got rhythm,solo,train
449,Hank Jones,pijama/jonesh-gonewiththewind-unaccompanied-xxxx-d46a3srd,148.27473958333331,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),gone with the wind,solo,train
450,Abdullah Ibrahim,pijama/ibrahima-justarrived-unaccompanied-xxxx-j09g621y,205.38932291666666,Abdullah Ibrahim (The Song Is My Story),just arrived,solo,train
451,Oscar Peterson,pijama/petersono-flyinghome-unaccompanied-xxxx-zy5ctxbn,110.06901041666666,Oscar Peterson (1951),flying home,solo,train
452,Abdullah Ibrahim,pijama/ibrahima-peace-unaccompanied-xxxx-7ezbqqn0,109.0,Abdullah Ibrahim (Solotude),peace,solo,train
453,Kenny Drew,pijama/drewk-asimpleneed-unaccompanied-xxxx-krntn236,182.5,Kenny Drew (SoloDuo),a simple need,solo,train
454,Tommy Flanagan,pijama/flanagant-parisianthoroughfare-unaccompanied-xxxx-t191u481,212.95052083333331,Tommy Flanagan (Solo Piano),between the devil and the deep blue sea,solo,train
455,Abdullah Ibrahim,pijama/ibrahima-corridorsradiant-unaccompanied-xxxx-b0d5czls,77.76953125,Abdullah Ibrahim (Senzo),corridors radiant,solo,train
456,Brad Mehldau,pijama/mehldaub-lithiumlive-unaccompanied-xxxx-z0gbl95p,238.55729166666666,Brad Mehldau (Live in Marciac),lithium,solo,train
457,Brad Mehldau,pijama/mehldaub-onthestreetwhereyoulive-unaccompanied-xxxx-5aby8jzr,422.18359375,Brad Mehldau (10 Years Solo Live),on the street where you live,solo,train
458,Oscar Peterson,pijama/petersono-yesterdays-unaccompanied-xxxx-1pexm941,198.06770833333331,Oscar Peterson (1951),yesterdays,solo,train
459,Cedar Walton,pijama/waltonc-zingarocaminhoscruzadoslive-unaccompanied-xxxx-u34ivpjx,439.38932291666663,Cedar Walton (The Maybeck Recital Series Vol 25),zingaro,solo,train
460,Gene Harris,pijama/harrisg-elephantblossombluesliveat-unaccompanied-xxxx-lxc1v8py,288.19921875,Gene Harris (The Maybeck Recital Series Vol 23),elephant blossom blues,solo,train
461,Chick Corea,pijama/coreac-bagatelle4-unaccompanied-xxxx-9tm4ucsl,306.7421875,Chick Corea (Solo Piano   Portraits),bagatelle,solo,train
462,Cedar Walton,pijama/waltonc-bluesformyself-unaccompanied-xxxx-xksybfl6,230.62760416666666,Cedar Walton (Blues For Myself Piano Solo),blues for myself,solo,train
463,Cedar Walton,pijama/waltonc-bremondsbluesliveatmaybeck-unaccompanied-xxxx-73x1vtck,261.4661458333333,Cedar Walton (The Maybeck Recital Series Vol 25),bremonds blues,solo,train
464,Abdullah Ibrahim,pijama/ibrahima-intheevening-unaccompanied-xxxx-gddwkqw8,188.5,Abdullah Ibrahim (Senzo),in the evening,solo,train
465,Thelonious Monk,pijama/monkt-askmenow-unaccompanied-xxxx-7mh1wybr,276.87890625,Thelonious Monk (Solo Monk),ask me now,solo,train
466,Chick Corea,pijama/coreac-portrait2krakow-unaccompanied-xxxx-gkzblaks,97.0390625,Chick Corea (Solo Piano   Portraits),portrait krakow,solo,train
467,Gene Harris,pijama/harrisg-lusbluesliveatmaybeck-unaccompanied-xxxx-9ceecrzu,367.0390625,Gene Harris (The Maybeck Recital Series Vol 23),lus blues,solo,train
468,Brad Mehldau,pijama/mehldaub-bittersweetsymphonywaterloosunset-unaccompanied-xxxx-htu1wae1,950.1953125,Brad Mehldau (10 Years Solo Live),bittersweet symphony waterloo sunset,solo,train
469,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-44nddfph,232.5,Keith Jarrett (Paris  London Testament),pt,solo,train
470,McCoy Tyner,pijama/tynerm-tivoli-unaccompanied-xxxx-zzs1xka8,275.359375,McCoy Tyner (Soliloquy),tivoli,solo,train
471,Brad Mehldau,pijama/mehldaub-gethappylive-unaccompanied-xxxx-5ymiirrg,750.3893229166666,Brad Mehldau (10 Years Solo Live),get happy,solo,train
472,Abdullah Ibrahim,pijama/ibrahima-kalaharipleiades-unaccompanied-xxxx-3tkpzq07,368.0390625,Abdullah Ibrahim (The Song Is My Story),kalahari pleiades,solo,train
473,Abdullah Ibrahim,pijama/ibrahima-forcoltranept-unaccompanied-xxxx-f8gv7ypn,57.30989583333333,Abdullah Ibrahim (The Song Is My Story),for coltrane,solo,train
474,Stanley Cowell,pijama/cowells-nefertitiliveatmaybeckrecital-unaccompanied-xxxx-p4n3c2lo,289.109375,Stanley Cowell (The Maybeck Recital Series Vol 5),nefertiti,solo,train
475,Brad Mehldau,pijama/mehldaub-vii-unaccompanied-xxxx-080f3kwy,111.04036458333333,Brad Mehldau (Suite   April 2020),vii,solo,train
476,Cedar Walton,pijama/waltonc-youremyeverythingliveat-unaccompanied-xxxx-jmrkcfpg,236.84895833333331,Cedar Walton (The Maybeck Recital Series Vol 25),youre my everything,solo,train
477,Keith Jarrett,pijama/jarrettk-ritooria-unaccompanied-xxxx-z63haqac,348.8450520833333,Keith Jarrett (Facing You),ritooria,solo,train
478,Geri Allen,pijama/alleng-mammasbabies-unaccompanied-xxxx-oulhvv86,332.6497395833333,Geri Allen (Home Grown),mammas babies,solo,train
479,Hank Jones,pijama/jonesh-howcomeyoudomelike-unaccompanied-xxxx-hdizkukm,305.5755208333333,Hank Jones (Handful Of Keys),how come you do me,solo,train
480,Cedar Walton,pijama/waltonc-darnthatdreamliveat-unaccompanied-xxxx-9azkmzje,309.9895833333333,Cedar Walton (The Maybeck Recital Series Vol 25),darn that dream,solo,train
481,Chick Corea,pijama/coreac-pastimeparadise-unaccompanied-xxxx-b1r7ncjl,276.25,Chick Corea (Solo Piano   Portraits),pastime paradise,solo,train
482,Gene Harris,pijama/harrisg-angeleyesliveatmaybeck-unaccompanied-xxxx-u77ogeao,387.5,Gene Harris (The Maybeck Recital Series Vol 23),angel eyes,solo,train
483,Thelonious Monk,pijama/monkt-theresdangerinyoureyescherie-unaccompanied-xxxx-ez306w7c,244.25,Thelonious Monk (Thelonious Alone In San Francisco),theres danger in your eyes cherie,solo,train
484,Brad Mehldau,pijama/mehldaub-ii-unaccompanied-xxxx-2kpra4dz,134.70963541666666,Brad Mehldau (Suite   April 2020),ii,solo,train
485,Chick Corea,pijama/coreac-duskinsandilive-unaccompanied-xxxx-hrgc4h9b,342.5,Chick Corea (Solo Piano   Standards),dusk in sandi,solo,train
486,Teddy Wilson,pijama/wilsont-sunday-unaccompanied-xxxx-1gc4easf,141.57942708333331,Teddy Wilson (Solo Piano  The Keystone Transriptions),sunday,solo,train
487,Chick Corea,pijama/coreac-childrenssong10-unaccompanied-xxxx-aa9tp8hq,256.02994791666663,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
488,Hank Jones,pijama/jonesh-dontblameme-unaccompanied-xxxx-o2sdrcm5,173.00390625,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),dont blame me,solo,train
489,Chick Corea,pijama/coreac-waltzfordebbylivein-unaccompanied-xxxx-f8hosun0,446.3489583333333,Chick Corea (Plays),waltz for debby,solo,train
490,Chick Corea,pijama/coreac-roundmidnightlive-unaccompanied-xxxx-rkbstdhy,448.81901041666663,Chick Corea (Solo Piano   Standards),round midnight,solo,train
491,Oscar Peterson,pijama/petersono-ivegotrhythm-unaccompanied-xxxx-bvp9i4cd,169.57942708333331,Oscar Peterson (1951),i got rhythm,solo,train
492,Abdullah Ibrahim,pijama/ibrahima-nisa-unaccompanied-xxxx-4c05d1ks,379.9895833333333,Abdullah Ibrahim (Senzo),nisa,solo,train
493,Abdullah Ibrahim,pijama/ibrahima-district6-unaccompanied-xxxx-d1xqqkf1,62.5,Abdullah Ibrahim (Solotude),district,solo,train
494,Abdullah Ibrahim,pijama/ibrahima-bluebolero-unaccompanied-xxxx-wggvfc0t,369.9895833333333,Abdullah Ibrahim (Senzo),blue bolero,solo,train
495,Hank Jones,pijama/jonesh-ifihadyou-unaccompanied-xxxx-yy3a1po2,170.37890625,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),if i had you,solo,train
496,Thelonious Monk,pijama/monkt-dinahtake1-unaccompanied-xxxx-h4h77mbr,139.5859375,Thelonious Monk (Solo Monk),dinah,solo,train
497,Abdullah Ibrahim,pijama/ibrahima-bluebolerofirstreprise-unaccompanied-xxxx-jn62hyls,38.64973958333333,Abdullah Ibrahim (Solotude),blue bolero,solo,train
498,Chick Corea,pijama/coreac-childrenssong9-unaccompanied-xxxx-kxrc49sp,70.64713541666666,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
499,Hank Jones,pijama/jonesh-myheartstoodstill-unaccompanied-xxxx-90ink3it,154.03385416666666,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),my heart stood still,solo,train
500,Chick Corea,pijama/coreac-childrenssongno-unaccompanied-xxxx-nhh934eo,208.55989583333331,Chick Corea (Plays),childrens song,solo,train
501,McCoy Tyner,pijama/tynerm-effendi-unaccompanied-xxxx-86dpp9of,240.0,McCoy Tyner (Soliloquy),effendi,solo,train
