,pianist,track,duration,album,composition,setting,split
311,Abdullah Ibrahim,pijama/ibrahima-twelvebytwelve-unaccompanied-xxxx-8ctt462t,98.42578125,Abdullah Ibrahim (The Song Is My Story),twelve by twelve,solo,train
312,Thelonious Monk,pijama/monkt-ihadntanyonetillyou-unaccompanied-xxxx-6usz7zik,199.98958333333331,Thelonious Monk (Solo Monk),i hadnt anyone till you,solo,train
313,Brad Mehldau,pijama/mehldaub-ronsplace-unaccompanied-xxxx-ks82mrck,269.90885416666663,Brad Mehldau (Marian McPartlands Piano Jazz with Brad Mehldau),rons place,solo,train
314,Teddy Wilson,pijama/wilsont-twilightblue-unaccompanied-xxxx-lrzjrz2i,173.05338541666666,Teddy Wilson (Solo Piano  The Keystone Transriptions),twilight blue,solo,train
315,Cedar Walton,pijama/waltonc-milestones-unaccompanied-xxxx-ayylw3k1,257.5,Cedar Walton (Underground Memoirs),milestones,solo,train
316,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-20vb4sbz,307.5,Keith Jarrett (Paris  London Testament),pt,solo,train
317,Brad Mehldau,pijama/mehldaub-heyyoulive-unaccompanied-xxxx-levtfkvk,660.94921875,Brad Mehldau (10 Years Solo Live),hey you,solo,train
318,Teddy Wilson,pijama/wilsont-jumpinoff-unaccompanied-xxxx-97e804q8,168.1796875,Teddy Wilson (Solo Piano  The Keystone Transriptions),jumpin off,solo,train
319,Kenny Barron,pijama/barronk-enchantedflower-unaccompanied-xxxx-vqk388e4,374.515625,Kenny Barron (At The Piano),enchanted flower,solo,train
320,Junior Mance,pijama/mancej-inasentimentalmood-unaccompanied-xxxx-fe8pcgz3,372.5,Junior Mance (Junior Mance Special),in a sentimental mood,solo,train
321,Thelonious Monk,pijama/monkt-northofthesunset-unaccompanied-xxxx-nk04fb5u,110.38932291666666,Thelonious Monk (Solo Monk),north of the sunset,solo,train
322,McCoy Tyner,pijama/tynerm-willowweepforme-unaccompanied-xxxx-d4lr3mqz,332.5091145833333,McCoy Tyner (Soliloquy),willow weep for me,solo,train
323,Cedar Walton,pijama/waltonc-skylark-unaccompanied-xxxx-67i5bra4,285.47916666666663,Cedar Walton (Underground Memoirs),skylark,solo,train
324,Thelonious Monk,pijama/monkt-rubymydeartake1-unaccompanied-xxxx-cfd0kykm,282.37890625,Thelonious Monk (Solo Monk),ruby my dear,solo,train
325,Hank Jones,pijama/jonesh-iguessillhavetochange-unaccompanied-xxxx-ogcrhqd8,183.97916666666666,Hank Jones (Live At Maybeck Recital Hall Vol 16),i guess ill have to change my plan,solo,train
326,Kenny Barron,pijama/barronk-wazuriblues-unaccompanied-xxxx-n3j43i5h,276.76953125,Kenny Barron (At The Piano),wazuri blues,solo,train
327,Chick Corea,pijama/coreac-butbeautifullive-unaccompanied-xxxx-usqktf6w,376.77994791666663,Chick Corea (Solo Piano   Standards),but beautiful,solo,train
328,Oscar Peterson,pijama/petersono-ishouldcarelive-unaccompanied-xxxx-nge09x9t,282.94921875,Oscar Peterson (Exclusively for My Friends   My Favorite Instrument Vol IV),i should care,solo,train
329,Hank Jones,pijama/jonesh-ohlookatmenow-unaccompanied-xxxx-b9ofqy48,267.22916666666663,Hank Jones (Live At Maybeck Recital Hall Vol 16),oh look at me now,solo,train
330,Ahmad Jamal,pijama/jamala-sorare-unaccompanied-xxxx-j92em74h,182.5,Ahmad Jamal (Ballades),so rare,solo,train
331,Thelonious Monk,pijama/monkt-imconfessinthatiloveyou-unaccompanied-xxxx-esq0wm4q,155.1015625,Thelonious Monk (Solo Monk),im confessin,solo,train
332,McCoy Tyner,pijama/tynerm-crescent-unaccompanied-xxxx-fch082t4,299.8294270833333,McCoy Tyner (Soliloquy),crescent,solo,train
333,Abdullah Ibrahim,pijama/ibrahima-odetoduke-unaccompanied-xxxx-pl87nmy8,315.8997395833333,Abdullah Ibrahim (Ode to Duke Ellington At Dukes Place),ode to duke,solo,train
334,Thelonious Monk,pijama/monkt-rubymydear-unaccompanied-xxxx-2p3lo619,337.72135416666663,Thelonious Monk (Solo Monk),ruby my dear,solo,train
335,Cedar Walton,pijama/waltonc-letscallthis-unaccompanied-xxxx-f8szjzuz,198.5390625,Cedar Walton (Blues For Myself Piano Solo),lets call this,solo,train
336,Chick Corea,pijama/coreac-portrait4eastonmaryland-unaccompanied-xxxx-dyjufdh2,205.359375,Chick Corea (Solo Piano   Portraits),portrait easton maryland,solo,train
337,Teddy Wilson,pijama/wilsont-oneoclockjump-unaccompanied-xxxx-z988sjf6,232.5,Teddy Wilson (Alone),one oclock jump,solo,train
338,Abdullah Ibrahim,pijama/ibrahima-preludeforcoltrane-unaccompanied-xxxx-ckhh394y,59.98958333333333,Abdullah Ibrahim (Senzo),prelude for coltrane,solo,train
339,McCoy Tyner,pijama/tynerm-ishouldcare-unaccompanied-xxxx-8zh4qxoa,238.51953125,McCoy Tyner (Soliloquy),i should care,solo,train
340,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-sfu9smyf,433.76953125,Keith Jarrett (Paris  London Testament),pt,solo,train
341,Tommy Flanagan,pijama/flanagant-lover-unaccompanied-xxxx-5j1b7kgc,161.7890625,Tommy Flanagan (Solo Piano),lover,solo,train
342,Brad Mehldau,pijama/mehldaub-andiloveherlive-unaccompanied-xxxx-as1cgema,954.25,Brad Mehldau (10 Years Solo Live),and i love her,solo,train
343,Teddy Wilson,pijama/wilsont-youremyfavoritememory-unaccompanied-xxxx-2pjucqcz,157.88932291666666,Teddy Wilson (Solo Piano  The Keystone Transriptions),youre my favorite memory,solo,train
344,Stanley Cowell,pijama/cowells-thenighthasathousandeyes-unaccompanied-xxxx-0hx7j9y9,451.3489583333333,Stanley Cowell (Angel Eyes),the night has a thousand eyes,solo,train
345,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-whfxi44r,355.87369791666663,Keith Jarrett (Paris  London Testament),pt,solo,train
346,Junior Mance,pijama/mancej-iwishiknewhowit-unaccompanied-xxxx-u4dcro8x,364.0598958333333,Junior Mance (Junior Mance Special),i wish i knew how it would feel to be free,solo,train
347,Geri Allen,pijama/alleng-dancingmysticpoetsattwilight-unaccompanied-xxxx-7tgbfufv,198.5390625,Geri Allen (Flying Toward the Sound A Solo Piano Excursion Inspired by Cecil Taylor Mccoy Tyner and Herbie Hancock),dancing mystic poets at twilight,solo,train
348,Abdullah Ibrahim,pijama/ibrahima-meditationmummy-unaccompanied-xxxx-e3bfxb1x,139.98958333333331,Abdullah Ibrahim (Senzo),meditation mummy,solo,train
349,Chick Corea,pijama/coreac-askmenowlive-unaccompanied-xxxx-5fx01vp7,312.72916666666663,Chick Corea (Solo Piano   Standards),ask me now,solo,train
350,Thelonious Monk,pijama/monkt-bluehawk-unaccompanied-xxxx-l3oixry2,216.60286458333331,Thelonious Monk (Thelonious Alone In San Francisco),bluehawk,solo,train
351,Abdullah Ibrahim,pijama/ibrahima-opendoorwithin-unaccompanied-xxxx-n188c8gt,221.12890625,Abdullah Ibrahim (The Song Is My Story),open door within,solo,train
352,Oscar Peterson,pijama/petersono-teafortwo-unaccompanied-xxxx-pu57u3x6,175.75911458333331,Oscar Peterson (1951),tea for two,solo,train
353,Brad Mehldau,pijama/mehldaub-howlonghasthisbeengoing-unaccompanied-xxxx-1bqdef7m,512.2395833333333,Brad Mehldau (Live in Tokyo),how long has this been going on,solo,train
354,Teddy Wilson,pijama/wilsont-whyshouldnt-unaccompanied-xxxx-7l569jo9,141.66927083333331,Teddy Wilson (Solo Piano  The Keystone Transriptions),why shouldnt,solo,train
355,Abdullah Ibrahim,pijama/ibrahima-forcoltranept-unaccompanied-xxxx-pdygnkxw,265.70963541666663,Abdullah Ibrahim (The Song Is My Story),for coltrane,solo,train
356,Oscar Peterson,pijama/petersono-gethappy-unaccompanied-xxxx-k37f75po,97.07942708333333,Oscar Peterson (1951),get happy,solo,train
357,Brad Mehldau,pijama/mehldaub-monksdream-unaccompanied-xxxx-vqpavh0z,459.0091145833333,Brad Mehldau (Live in Tokyo),monks dream,solo,train
358,Brad Mehldau,pijama/mehldaub-intro-unaccompanied-xxxx-h9fpvdpi,167.01953125,Brad Mehldau (Live in Tokyo),intro,solo,train
359,John Hicks,pijama/hicksj-reflectionsrecordedliveinconcert-unaccompanied-xxxx-5m2a83x0,437.1888020833333,John Hicks (I Remember You Recorded Live in Concert 2006),reflections,solo,train
360,Kenny Barron,pijama/barronk-wellyouneedntliveat-unaccompanied-xxxx-l8bo81nm,412.4296875,Kenny Barron (Live At Maybeck Recital Hall Volume 10),well you neednt,solo,train
361,Teddy Wilson,pijama/wilsont-icantgetstartedmoonglow-unaccompanied-xxxx-n7602dri,247.0,Teddy Wilson (Alone),i cant get started,solo,train
362,Gene Harris,pijama/harrisg-oldfolksliveatmaybeck-unaccompanied-xxxx-ye7y9atl,486.7591145833333,Gene Harris (The Maybeck Recital Series Vol 23),old folks,solo,train
363,Oscar Peterson,pijama/petersono-makinwhoopeelive-unaccompanied-xxxx-i3xns7vr,238.58984375,Oscar Peterson (Solo),makin whoopee,solo,train
364,Abdullah Ibrahim,pijama/ibrahima-bluesforbea-unaccompanied-xxxx-zu9853h0,58.75911458333333,Abdullah Ibrahim (Senzo),blues for bea,solo,train
365,Ahmad Jamal,pijama/jamala-whisperings-unaccompanied-xxxx-fpuah3vz,206.08984375,Ahmad Jamal (Ballades),whispering,solo,train
366,Thelonious Monk,pijama/monkt-bluemonk-unaccompanied-xxxx-5mrezprw,224.11458333333331,Thelonious Monk (Thelonious Alone In San Francisco),blue monk,solo,train
367,Thelonious Monk,pijama/monkt-roundlights-unaccompanied-xxxx-2f5s5cqq,214.21875,Thelonious Monk (Thelonious Alone In San Francisco),round lights,solo,train
368,Cedar Walton,pijama/waltonc-withoutasong-unaccompanied-xxxx-tg2eyywc,237.06119791666666,Cedar Walton (Blues For Myself Piano Solo),without a song,solo,train
369,John Hicks,pijama/hicksj-anightingalesanginberkeleysquare-unaccompanied-xxxx-5c6autdf,219.98958333333331,John Hicks (I Remember You Recorded Live in Concert 2006),a nightingale sang in berkeley square,solo,train
370,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-unn3xjbb,442.24479166666663,Keith Jarrett (Paris  London Testament),pt,solo,train
371,Chick Corea,pijama/coreac-chopinpreludeop-unaccompanied-xxxx-dfz69wrj,254.60286458333331,Chick Corea (Plays),chopin prelude op,solo,train
372,Oscar Peterson,pijama/petersono-littlegirlbluelive-unaccompanied-xxxx-j1rrmwee,367.77994791666663,Oscar Peterson (Exclusively for My Friends   My Favorite Instrument Vol IV),little girl blue,solo,train
373,Brad Mehldau,pijama/mehldaub-thingsbehindthesun-unaccompanied-xxxx-jrrs1utn,262.4192708333333,Brad Mehldau (Live in Tokyo),things behind the sun,solo,train
374,Brad Mehldau,pijama/mehldaub-meditationilordwatchover-unaccompanied-xxxx-lognqhxa,520.0598958333333,Brad Mehldau (10 Years Solo Live),meditation i lord watch over me,solo,train
375,Oscar Peterson,pijama/petersono-bodyandsoullive-unaccompanied-xxxx-twzqxjsp,279.06119791666663,Oscar Peterson (Solo),body and soul,solo,train
376,Keith Jarrett,pijama/jarrettk-encorefromtokyo-unaccompanied-xxxx-1wyyh1wi,482.5,Keith Jarrett (Sun Bear Concerts),encore from tokyo,solo,train
377,Chick Corea,pijama/coreac-childrenssongno-unaccompanied-xxxx-u85w3xs1,94.45963541666666,Chick Corea (Plays),childrens song,solo,train
378,Teddy Wilson,pijama/wilsont-aghostofachance-unaccompanied-xxxx-mljus2a7,176.41796875,Teddy Wilson (Solo Piano  The Keystone Transriptions),ghost of a chance,solo,train
379,Tommy Flanagan,pijama/flanagant-sleepinbee-unaccompanied-xxxx-65kq24ri,283.08463541666663,Tommy Flanagan (Solo Piano),sleepin bee,solo,train
380,Teddy Wilson,pijama/wilsont-lushlifetakethea-unaccompanied-xxxx-arbjjpir,327.609375,Teddy Wilson (Alone),lush life,solo,train
381,Brad Mehldau,pijama/mehldaub-brahmsintermezzoinbflat-unaccompanied-xxxx-5hzcvlh7,153.29296875,Brad Mehldau (10 Years Solo Live),brahms intermezzo in bflat major op,solo,train
382,Geri Allen,pijama/alleng-godsancientsky-unaccompanied-xxxx-224gmzlu,959.8098958333333,Geri Allen (Flying Toward the Sound A Solo Piano Excursion Inspired by Cecil Taylor Mccoy Tyner and Herbie Hancock),gods ancient sky,solo,train
383,Teddy Wilson,pijama/wilsont-shinystockings-unaccompanied-xxxx-swlsd0wg,259.58984375,Teddy Wilson (Alone),shiny stockings,solo,train
384,McCoy Tyner,pijama/tynerm-bouncinwithbud-unaccompanied-xxxx-benlnpln,173.27604166666666,McCoy Tyner (Soliloquy),bouncin with bud,solo,train
385,Brad Mehldau,pijama/mehldaub-thisherelive-unaccompanied-xxxx-gwfdsmwi,477.63932291666663,Brad Mehldau (10 Years Solo Live),this here,solo,train
386,Stanley Cowell,pijama/cowells-abscretion-unaccompanied-xxxx-v7lsg9og,307.20963541666663,Stanley Cowell (Angel Eyes),abscretion,solo,train
387,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-4l2fgn36,597.96875,Keith Jarrett (Paris  London Testament),pt,solo,train
388,Teddy Wilson,pijama/wilsont-morethanyouknow-unaccompanied-xxxx-o8b27o6z,165.83984375,Teddy Wilson (Solo Piano  The Keystone Transriptions),more than you know,solo,train
389,Oscar Peterson,pijama/petersono-bluesetudelive-unaccompanied-xxxx-ecwkfqtw,309.76953125,Oscar Peterson (Solo),blues etude,solo,train
390,Chick Corea,pijama/coreac-scarlattisonataind-unaccompanied-xxxx-r1pm33by,127.7734375,Chick Corea (Plays),scarlatti sonata in d minor k9 l413 allegro,solo,train
391,Ahmad Jamal,pijama/jamala-ishouldcare-unaccompanied-xxxx-3r250fn1,199.6171875,Ahmad Jamal (Ballades),i should care,solo,train
392,Teddy Wilson,pijama/wilsont-roseroom-unaccompanied-xxxx-chyx5lwq,154.43880208333331,Teddy Wilson (Solo Piano  The Keystone Transriptions),rose room,solo,train
393,Stanley Cowell,pijama/cowells-stompinatthesavoylive-unaccompanied-xxxx-8w2qfmig,241.00911458333331,Stanley Cowell (The Maybeck Recital Series Vol 5),stompin at the savoy,solo,train
394,Abdullah Ibrahim,pijama/ibrahima-dust-unaccompanied-xxxx-jlqwqj07,69.98958333333333,Abdullah Ibrahim (Senzo),dust,solo,train
395,Teddy Wilson,pijama/wilsont-themoonislow-unaccompanied-xxxx-efkelfe7,144.46875,Teddy Wilson (Solo Piano  The Keystone Transriptions),the moon is low,solo,train
396,Chick Corea,pijama/coreac-childrenssongno-unaccompanied-xxxx-65w88uez,71.9765625,Chick Corea (Plays),childrens song,solo,train
397,John Hicks,pijama/hicksj-iwanttotalkaboutyou-unaccompanied-xxxx-yvgxhx0v,209.98958333333331,John Hicks (I Remember You Recorded Live in Concert 2006),i want to talk about you,solo,train
398,Kenny Barron,pijama/barronk-thesmudge-unaccompanied-xxxx-3qrwffoj,298.95963541666663,Kenny Barron (Oscar With Love   The Songs of Oscar Peterson),the smudge,solo,train
399,Gene Harris,pijama/harrisg-theycanttakethatawayfrom-unaccompanied-xxxx-r7ikzql7,387.63932291666663,Gene Harris (The Maybeck Recital Series Vol 23),they cant take that away from me,solo,train
400,Chick Corea,pijama/coreac-bluemonkliveinberlin-unaccompanied-xxxx-phkqs50d,256.15885416666663,Chick Corea (Plays),blue monk,solo,train
401,Chick Corea,pijama/coreac-childrenssong4-unaccompanied-xxxx-cb3zhars,133.90885416666666,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
402,McCoy Tyner,pijama/tynerm-threeflowers-unaccompanied-xxxx-cr1n7eos,287.9388020833333,McCoy Tyner (Soliloquy),three flowers,solo,train
403,Keith Jarrett,pijama/jarrettk-partviiilive-unaccompanied-xxxx-kb5ggqre,316.6796875,Keith Jarrett (Budapest Concert Live),part viii,solo,train
404,Teddy Wilson,pijama/wilsont-outofnowhere-unaccompanied-xxxx-wkkagxts,159.52994791666666,Teddy Wilson (Solo Piano  The Keystone Transriptions),out of nowhere,solo,train
405,Chick Corea,pijama/coreac-portraithenriettalive-unaccompanied-xxxx-cr0xsciy,142.14713541666666,Chick Corea (Plays),portrait henrietta,solo,train
406,Keith Jarrett,pijama/jarrettk-partviilive-unaccompanied-xxxx-m00d79iy,322.0390625,Keith Jarrett (Budapest Concert Live),part vii,solo,train
407,Brad Mehldau,pijama/mehldaub-datderelive-unaccompanied-xxxx-pjuozrlj,293.7395833333333,Brad Mehldau (Live in Marciac),dat dere,solo,train
408,Chick Corea,pijama/coreac-childrenssongno-unaccompanied-xxxx-tlrbe3pa,452.9296875,Chick Corea (Plays),childrens song,solo,train
409,Oscar Peterson,pijama/petersono-whocaniturnto-unaccompanied-xxxx-bezzp531,295.68359375,Oscar Peterson (Exclusively for My Friends   My Favorite Instrument Vol IV),who can i turn to,solo,train
410,Brad Mehldau,pijama/mehldaub-exitmusicforafilm-unaccompanied-xxxx-rimz3iid,455.4192708333333,Brad Mehldau (Live in Marciac),exit music for a film,solo,train
411,Brad Mehldau,pijama/mehldaub-jigsawfallingintoplacelive-unaccompanied-xxxx-d7l39zn8,705.5390625,Brad Mehldau (10 Years Solo Live),jigsaw falling into place,solo,train
412,Chick Corea,pijama/coreac-improvisationonscarlattilivein-unaccompanied-xxxx-g6dqiw3y,137.92317708333331,Chick Corea (Plays),improvisation on scarlatti,solo,train
413,McCoy Tyner,pijama/tynerm-allthethingsyouare-unaccompanied-xxxx-4wa69rln,251.70963541666666,McCoy Tyner (Soliloquy),all the things you are,solo,train
414,Ahmad Jamal,pijama/jamala-becauseiloveyou-unaccompanied-xxxx-te5rksau,356.11588541666663,Ahmad Jamal (Ballades),because i love you,solo,train
415,Thelonious Monk,pijama/monkt-ishouldcare-unaccompanied-xxxx-7n3eg53t,115.52994791666666,Thelonious Monk (Solo Monk),i should care,solo,train
416,Oscar Peterson,pijama/petersono-bodyandsoul-unaccompanied-xxxx-e2u91jpl,209.98958333333331,Oscar Peterson (Marian McPartlands Piano Jazz Radio Broadcast),body and soul,solo,train
417,Brad Mehldau,pijama/mehldaub-thinkofonelive-unaccompanied-xxxx-ziv3wb8y,465.29947916666663,Brad Mehldau (10 Years Solo Live),think of one,solo,train
418,Junior Mance,pijama/mancej-carelesslove-unaccompanied-xxxx-6escwcsr,416.8098958333333,Junior Mance (Junior Mance Special),careless love,solo,train
419,Chick Corea,pijama/coreac-oblivionlive-unaccompanied-xxxx-3w12zyc3,236.6796875,Chick Corea (Solo Piano   Standards),oblivion,solo,train
420,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-cqm5v550,325.97916666666663,Keith Jarrett (Paris  London Testament),pt,solo,train
421,Brad Mehldau,pijama/mehldaub-itsallrightwithme-unaccompanied-xxxx-bphn3zwu,289.9895833333333,Brad Mehldau (Live in Marciac),its all right with me,solo,train
422,John Hicks,pijama/hicksj-peanutbutter-unaccompanied-xxxx-m10mplhu,367.8294270833333,John Hicks (Hicks Time),peanut butter,solo,train
423,Teddy Wilson,pijama/wilsont-goinhomeblues-unaccompanied-xxxx-49cj37te,128.44921875,Teddy Wilson (Solo Piano  The Keystone Transriptions),goin home blues,solo,train
424,Abdullah Ibrahim,pijama/ibrahima-bluesforahipking-unaccompanied-xxxx-5bb4qeq6,367.79947916666663,Abdullah Ibrahim (Senzo),blues for a hip king,solo,train
425,Hank Jones,pijama/jonesh-satindoll-unaccompanied-xxxx-pjyqb29l,216.13932291666666,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),satin doll,solo,train
426,Stanley Cowell,pijama/cowells-jitterbugwaltzlive-unaccompanied-xxxx-r4pwb811,319.9895833333333,Stanley Cowell (The Maybeck Recital Series Vol 5),jitterbug waltz,solo,train
427,Teddy Wilson,pijama/wilsont-minutesteak-unaccompanied-xxxx-xcvt4htq,60.71875,Teddy Wilson (Solo Piano  The Keystone Transriptions),minute steak,solo,train
428,Thelonious Monk,pijama/monkt-everythinghappenstometake3-unaccompanied-xxxx-zz7huq41,207.07942708333331,Thelonious Monk (Solo Monk),everything happens to me,solo,train
429,Oscar Peterson,pijama/petersono-corcovadolive-unaccompanied-xxxx-k6v92siq,267.02994791666663,Oscar Peterson (Solo),corcovado,solo,train
430,Abdullah Ibrahim,pijama/ibrahima-tookah-unaccompanied-xxxx-18mcef8h,89.98958333333333,Abdullah Ibrahim (Senzo),tookah,solo,train
431,Brad Mehldau,pijama/mehldaub-resignationlive-unaccompanied-xxxx-2wxzozqc,598.4296875,Brad Mehldau (Live in Marciac),resignation,solo,train
432,Oscar Peterson,pijama/petersono-foryou-unaccompanied-xxxx-gcj8qkw7,124.34895833333333,Oscar Peterson (1951),for you,solo,train
433,Oscar Peterson,pijama/petersono-taketheatrainlive-unaccompanied-xxxx-96r2rhdh,192.5,Oscar Peterson (Solo),take the a train,solo,train
434,Chick Corea,pijama/coreac-theyellownimbuslivein-unaccompanied-xxxx-jr3298hu,550.4309895833333,Chick Corea (Plays),the yellow nimbus,solo,train
435,Teddy Wilson,pijama/wilsont-lildarling-unaccompanied-xxxx-2dluyccz,202.18880208333331,Teddy Wilson (Alone),lil darlin,solo,train
436,Chick Corea,pijama/coreac-theyellownimbus-unaccompanied-xxxx-4ng22l5q,542.4088541666666,Chick Corea (Solo Piano   Portraits),the yellow nimbus,solo,train
437,Brad Mehldau,pijama/mehldaub-marthamydearlive-unaccompanied-xxxx-io785fia,361.72916666666663,Brad Mehldau (Live in Marciac),martha my dear,solo,train
438,Hank Jones,pijama/jonesh-justsqueezeme-unaccompanied-xxxx-uxj8v93w,212.5,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),squeeze me,solo,train
439,Oscar Peterson,pijama/petersono-hungariandance-unaccompanied-xxxx-qfz8jllz,180.02994791666666,Oscar Peterson (1951),hungarian dance,solo,train
440,Chick Corea,pijama/coreac-prelude4op-unaccompanied-xxxx-vzlexgh9,284.35026041666663,Chick Corea (Solo Piano   Portraits),prelude op,solo,train
441,Thelonious Monk,pijama/monkt-monkspoint-unaccompanied-xxxx-l9tyejuf,134.625,Thelonious Monk (Solo Monk),monks point,solo,train
442,Keith Jarrett,pijama/jarrettk-someonetowatchoverme-unaccompanied-xxxx-nzlxyomy,299.1328125,Keith Jarrett (The Melody At Night With You),someone to watch over me,solo,train
443,Cedar Walton,pijama/waltonc-sophisticatedlady-unaccompanied-xxxx-2nav0nyp,218.97916666666666,Cedar Walton (Blues For Myself Piano Solo),sophisticated lady,solo,train
444,Thelonious Monk,pijama/monkt-askmenowtake1-unaccompanied-xxxx-8rimdq68,220.51822916666666,Thelonious Monk (Solo Monk),ask me now,solo,train
445,Abdullah Ibrahim,pijama/ibrahima-aspen-unaccompanied-xxxx-c2gsu38o,77.7890625,Abdullah Ibrahim (Senzo),aspen,solo,train
446,Abdullah Ibrahim,pijama/ibrahima-rosegotitbadinharlem-unaccompanied-xxxx-f3fk0v3s,347.453125,Abdullah Ibrahim (Ode to Duke Ellington At Dukes Place),rose got it bad in harlem,solo,train
447,Oscar Peterson,pijama/petersono-satindolllive-unaccompanied-xxxx-6doot4ax,341.72916666666663,Oscar Peterson (Solo),satin doll,solo,train
448,Thelonious Monk,pijama/monkt-imconfessinthatiloveyou-unaccompanied-xxxx-co7ltkix,169.11979166666666,Thelonious Monk (Solo Monk),im confessin,solo,train
449,Brad Mehldau,pijama/mehldaub-junklive-unaccompanied-xxxx-sjtxzmup,302.9192708333333,Brad Mehldau (10 Years Solo Live),junk,solo,train
450,Cedar Walton,pijama/waltonc-bridgework-unaccompanied-xxxx-7gosr004,204.97916666666666,Cedar Walton (Blues For Myself Piano Solo),bridge work,solo,train
451,Oscar Peterson,pijama/petersono-sevencomeeleven-unaccompanied-xxxx-f8l3rmxf,107.81901041666666,Oscar Peterson (1951),i got rhythm,solo,train
452,Hank Jones,pijama/jonesh-gonewiththewind-unaccompanied-xxxx-d46a3srd,148.27473958333331,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),gone with the wind,solo,train
453,Abdullah Ibrahim,pijama/ibrahima-justarrived-unaccompanied-xxxx-j09g621y,205.38932291666666,Abdullah Ibrahim (The Song Is My Story),just arrived,solo,train
454,Abdullah Ibrahim,pijama/ibrahima-inasentimentalmood-unaccompanied-xxxx-arh2sls3,269.9895833333333,Abdullah Ibrahim (Ode to Duke Ellington At Dukes Place),in a sentimental mood,solo,train
455,Cedar Walton,pijama/waltonc-everytimewesaygoodbye-unaccompanied-xxxx-y7r0zknx,385.5,Cedar Walton (Underground Memoirs),everytime we say goodbye,solo,train
456,Oscar Peterson,pijama/petersono-flyinghome-unaccompanied-xxxx-zy5ctxbn,110.06901041666666,Oscar Peterson (1951),flying home,solo,train
457,Kenny Drew,pijama/drewk-asimpleneed-unaccompanied-xxxx-krntn236,182.5,Kenny Drew (SoloDuo),a simple need,solo,train
458,Tommy Flanagan,pijama/flanagant-parisianthoroughfare-unaccompanied-xxxx-t191u481,212.95052083333331,Tommy Flanagan (Solo Piano),between the devil and the deep blue sea,solo,train
459,Abdullah Ibrahim,pijama/ibrahima-corridorsradiant-unaccompanied-xxxx-b0d5czls,77.76953125,Abdullah Ibrahim (Senzo),corridors radiant,solo,train
460,Brad Mehldau,pijama/mehldaub-lithiumlive-unaccompanied-xxxx-z0gbl95p,238.55729166666666,Brad Mehldau (Live in Marciac),lithium,solo,train
461,Brad Mehldau,pijama/mehldaub-onthestreetwhereyoulive-unaccompanied-xxxx-5aby8jzr,422.18359375,Brad Mehldau (10 Years Solo Live),on the street where you live,solo,train
462,Oscar Peterson,pijama/petersono-yesterdays-unaccompanied-xxxx-1pexm941,198.06770833333331,Oscar Peterson (1951),yesterdays,solo,train
463,Gene Harris,pijama/harrisg-elephantblossombluesliveat-unaccompanied-xxxx-lxc1v8py,288.19921875,Gene Harris (The Maybeck Recital Series Vol 23),elephant blossom blues,solo,train
464,John Hicks,pijama/hicksj-naomislovesong-unaccompanied-xxxx-j4z5bhnr,178.0234375,John Hicks (Hicks Time),naomis love song,solo,train
465,Chick Corea,pijama/coreac-bagatelle4-unaccompanied-xxxx-9tm4ucsl,306.7421875,Chick Corea (Solo Piano   Portraits),bagatelle,solo,train
466,Abdullah Ibrahim,pijama/ibrahima-twospirituals-unaccompanied-xxxx-nuzpd1eg,397.01953125,Abdullah Ibrahim (Ode to Duke Ellington At Dukes Place),two spirituals,solo,train
467,Cedar Walton,pijama/waltonc-bluesformyself-unaccompanied-xxxx-xksybfl6,230.62760416666666,Cedar Walton (Blues For Myself Piano Solo),blues for myself,solo,train
468,Abdullah Ibrahim,pijama/ibrahima-intheevening-unaccompanied-xxxx-gddwkqw8,188.5,Abdullah Ibrahim (Senzo),in the evening,solo,train
469,Thelonious Monk,pijama/monkt-askmenow-unaccompanied-xxxx-7mh1wybr,276.87890625,Thelonious Monk (Solo Monk),ask me now,solo,train
470,Chick Corea,pijama/coreac-portrait2krakow-unaccompanied-xxxx-gkzblaks,97.0390625,Chick Corea (Solo Piano   Portraits),portrait krakow,solo,train
471,Kenny Barron,pijama/barronk-witchcraftliveatmaybeckrecital-unaccompanied-xxxx-zg1x24z0,531.7591145833333,Kenny Barron (Live At Maybeck Recital Hall Volume 10),witchcraft,solo,train
472,Gene Harris,pijama/harrisg-lusbluesliveatmaybeck-unaccompanied-xxxx-9ceecrzu,367.0390625,Gene Harris (The Maybeck Recital Series Vol 23),lus blues,solo,train
473,Brad Mehldau,pijama/mehldaub-bittersweetsymphonywaterloosunset-unaccompanied-xxxx-htu1wae1,950.1953125,Brad Mehldau (10 Years Solo Live),bittersweet symphony waterloo sunset,solo,train
474,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-44nddfph,232.5,Keith Jarrett (Paris  London Testament),pt,solo,train
